Month,WeekOfMonth,DayOfWeek,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange-Claim,NumberOfCars
1,2,5,1,3,1,2,0,1,31,1,1,1,0,1,4,400,1,1,5,0,0,0,0,1
1,2,6,1,4,1,2,1,2,74,1,1,1,1,1,10,400,1,0,8,0,0,0,0,1
1,2,7,1,4,1,3,1,1,36,1,1,1,0,1,1,400,4,0,6,0,0,0,0,1
1,2,1,2,2,1,4,1,2,37,1,3,2,1,1,13,400,2,2,8,0,0,1,0,1
1,2,1,1,2,1,2,1,2,39,1,2,1,3,1,15,400,4,1,7,0,0,2,0,1
1,2,1,2,5,1,3,1,2,33,1,2,1,1,1,7,400,3,2,5,0,0,1,0,3
1,2,1,2,3,1,3,1,2,33,1,2,1,1,1,13,400,1,0,7,0,0,0,0,1
1,2,1,2,3,1,2,1,2,37,1,1,1,1,1,5,400,2,0,7,0,0,0,0,1
1,2,2,2,5,1,4,1,1,38,1,1,1,6,1,12,400,4,0,1,0,0,0,0,1
1,2,3,2,1,1,4,1,2,29,1,1,1,1,1,5,400,3,0,6,0,0,0,0,1
1,2,4,2,4,1,2,1,2,51,1,2,1,1,1,9,400,1,2,8,0,0,0,0,1
1,3,6,2,1,1,3,1,1,22,1,1,1,0,1,4,400,1,2,5,0,0,0,0,1
1,3,6,2,1,1,5,1,1,28,1,2,1,0,1,8,400,3,2,5,0,0,2,0,1
1,3,1,2,2,1,4,1,2,338,1,2,1,2,1,13,400,2,2,6,0,0,3,0,1
1,3,1,1,3,1,3,1,2,42,1,3,2,2,1,2,400,1,2,7,0,0,0,0,1
8,1,2,2,5,8,1,1,2,35,0,1,1,5,1,2,500,4,1,7,0,0,0,3,1
1,3,2,2,3,1,3,1,2,78,1,2,1,2,1,9,400,3,1,8,0,0,0,0,1
1,3,3,1,2,2,1,1,1,33,1,1,1,1,1,8,400,1,1,6,0,0,0,0,1
1,3,4,2,3,2,2,0,2,35,1,1,1,1,1,14,400,4,2,5,0,0,2,0,1
1,4,5,2,2,2,1,1,1,33,1,1,1,2,1,16,400,2,2,6,0,0,0,0,1
1,4,6,2,3,1,4,1,2,53,1,2,1,1,1,4,400,4,0,8,0,0,0,0,1
1,4,7,2,3,1,4,1,2,39,1,1,1,1,1,11,400,2,0,6,0,0,0,0,1
1,4,7,2,3,1,4,1,2,32,1,2,1,1,1,6,400,4,1,7,0,0,0,0,1
1,4,1,2,3,2,1,0,1,27,1,1,1,6,1,6,400,2,1,7,0,0,1,4,2
1,4,1,2,1,2,4,1,2,43,1,2,1,1,1,3,400,1,2,7,1,0,0,0,1
1,4,1,2,2,2,1,1,1,33,1,2,1,1,1,6,400,4,0,5,0,0,1,0,1
1,4,2,2,2,4,1,1,2,27,1,2,1,2,1,14,400,1,1,7,0,0,0,0,1
1,4,2,2,2,1,4,1,2,39,1,3,2,2,1,6,400,3,3,7,0,0,0,0,1
1,4,2,2,3,2,2,1,1,38,1,1,1,6,1,15,400,3,0,1,0,0,0,0,1
1,4,2,2,5,2,1,1,2,65,1,1,1,2,1,2,400,3,2,8,0,0,0,0,1
1,4,4,2,3,2,1,0,1,38,1,2,1,1,1,9,400,4,1,7,0,0,0,0,1
1,4,4,2,3,4,2,1,2,48,1,2,1,1,1,6,400,4,0,7,0,0,0,0,1
1,4,4,1,4,2,1,1,2,24,1,2,1,2,1,12,400,1,2,5,0,0,3,0,1
1,5,5,1,1,1,5,1,1,26,1,1,1,3,1,7,400,1,0,6,0,0,0,0,1
1,5,5,2,5,2,2,1,2,61,1,1,1,1,1,13,400,1,2,8,0,0,0,0,1
1,5,5,2,2,2,1,1,2,57,1,1,1,1,1,16,400,2,2,8,0,0,3,2,1
1,5,6,2,4,2,2,1,2,35,1,1,1,1,1,14,400,4,1,5,0,0,0,0,1
1,5,7,1,5,3,4,1,2,46,1,1,1,1,1,6,400,3,2,5,0,0,1,4,2
1,5,7,1,2,2,1,1,2,27,1,2,1,2,1,15,400,3,2,7,0,0,0,0,1
1,5,1,2,2,2,2,1,2,43,1,1,1,1,1,3,400,3,1,6,0,0,3,0,1
1,5,1,2,2,2,1,1,2,35,1,1,1,1,1,7,400,3,0,7,0,0,0,0,1
1,5,1,1,2,2,1,1,1,18,1,5,2,6,1,4,400,3,0,3,0,0,0,0,1
2,1,2,2,3,2,1,0,2,76,1,1,1,0,1,14,400,3,0,8,0,0,3,0,1
2,1,3,1,5,2,1,1,2,31,1,1,1,1,1,6,400,2,0,7,0,0,2,0,1
2,1,3,2,1,2,2,1,2,79,1,3,2,2,1,7,400,4,3,8,0,0,3,0,1
11,2,5,2,1,11,3,1,2,43,0,2,1,2,1,5,500,4,1,8,0,0,0,3,1
2,1,4,2,1,2,2,1,2,31,1,1,1,2,1,1,700,1,2,7,0,0,1,0,1
2,1,5,2,5,2,2,1,1,35,1,1,1,1,1,14,700,3,0,7,0,0,0,0,1
2,1,6,2,1,2,2,1,2,43,1,1,1,2,1,6,400,3,2,7,0,0,3,0,1
2,1,6,1,4,2,2,1,1,38,1,2,1,6,1,8,400,3,0,1,0,0,0,3,2
2,1,6,2,1,2,3,1,1,38,1,1,1,6,1,3,400,1,3,1,0,0,0,0,1
2,1,6,2,2,2,2,1,2,31,1,2,1,1,1,4,400,2,2,6,0,0,0,0,1
2,1,7,1,1,2,2,1,2,29,1,1,1,1,1,4,400,1,1,7,0,0,3,0,1
2,2,2,2,1,2,4,1,2,438,1,2,1,2,1,7,400,1,2,5,0,0,0,0,1
2,2,4,2,1,2,4,1,2,42,1,2,1,2,1,5,400,3,2,6,0,0,0,0,1
2,2,5,2,4,2,3,1,2,33,1,1,1,1,1,4,400,3,1,6,0,0,2,0,1
2,2,5,2,3,3,1,1,1,18,1,5,2,6,1,2,400,2,0,5,0,0,3,0,1
2,2,5,2,1,2,3,1,2,55,1,1,1,1,1,6,400,4,1,8,0,0,1,0,1
2,2,5,1,5,2,3,1,1,338,1,2,1,2,1,12,400,3,1,6,0,0,0,0,1
2,2,6,2,1,2,3,1,2,57,1,2,1,1,1,9,400,1,2,7,0,0,0,0,1
2,2,7,2,4,2,3,1,2,52,1,1,1,1,1,8,400,3,0,7,0,0,0,0,1
2,3,4,2,5,2,3,1,1,29,1,2,1,1,1,16,400,3,1,6,0,0,2,0,1
2,3,6,1,5,4,1,1,2,65,1,2,1,1,1,9,400,3,1,8,0,0,3,0,3
2,3,6,2,1,3,3,1,1,33,1,2,1,2,1,12,400,2,1,6,0,0,0,0,1
2,3,6,2,3,3,1,0,1,32,1,3,2,1,1,16,400,3,1,5,0,0,0,0,1
2,3,7,1,3,3,1,1,2,54,1,1,1,0,1,4,400,4,2,8,0,0,0,0,1
2,3,7,2,3,3,1,1,2,338,1,1,1,1,1,9,700,3,1,7,0,0,0,0,1
2,3,7,2,5,3,3,1,1,31,1,1,1,1,1,10,500,2,0,6,0,0,0,3,2
2,3,7,1,2,10,2,1,2,538,1,1,1,6,1,16,400,4,2,8,0,0,3,0,1
2,4,1,2,2,2,4,1,1,38,1,1,1,6,1,9,400,3,2,1,0,0,0,2,1
2,4,2,2,5,4,4,1,2,62,1,1,1,2,1,10,400,4,2,8,0,0,0,0,1
2,4,2,2,3,3,1,1,2,438,1,1,1,6,1,7,400,1,2,7,0,0,0,0,1
2,4,4,2,1,4,3,1,2,32,1,1,1,1,1,15,400,3,0,7,0,0,0,0,1
2,4,5,2,1,3,4,1,1,38,1,1,1,6,1,10,400,2,0,1,1,0,0,0,1
2,4,5,2,4,3,2,1,2,66,1,2,1,1,1,6,400,2,1,7,0,0,3,0,3
2,4,6,2,1,2,5,1,1,22,1,2,1,2,1,13,400,3,1,5,1,1,1,0,1
2,4,6,2,2,3,1,1,1,22,1,5,2,6,1,7,400,4,0,5,0,0,0,0,1
2,4,7,2,2,3,2,1,2,58,1,1,1,2,1,5,400,4,2,8,0,0,3,0,3
3,1,2,1,3,3,2,1,2,34,1,1,1,2,1,6,400,4,0,7,0,0,0,0,1
3,1,3,2,1,3,2,1,1,38,1,1,1,6,1,15,400,4,0,1,0,0,0,0,1
3,1,3,2,1,3,2,0,2,45,1,1,1,0,1,4,400,1,1,7,0,0,0,0,1
3,1,3,2,2,3,2,1,2,38,1,1,1,2,1,9,400,2,2,7,0,0,0,0,1
3,1,3,1,5,3,1,1,1,338,1,1,1,6,1,9,400,2,1,5,0,0,0,0,1
3,1,3,2,5,3,1,1,1,32,1,2,1,3,1,8,400,2,2,3,0,0,2,0,1
3,1,3,2,5,3,1,1,1,38,1,1,1,6,1,7,400,4,0,1,0,0,0,0,1
3,1,3,1,3,3,1,1,1,34,1,2,1,1,1,8,400,4,1,5,0,0,0,0,1
3,1,6,2,3,3,3,1,1,38,1,1,1,6,1,16,400,1,0,1,0,0,0,0,1
3,1,6,2,2,3,2,1,2,36,1,1,1,6,1,4,400,4,1,7,0,0,3,0,1
3,1,6,2,2,3,2,1,1,38,1,1,1,6,1,1,400,2,1,1,0,0,0,0,1
3,1,7,2,1,3,2,1,1,29,1,2,1,2,1,3,400,4,3,6,0,0,2,0,1
3,1,7,1,1,3,2,1,2,338,1,2,1,6,1,4,400,4,2,6,0,0,0,0,1
3,1,7,2,2,3,2,1,2,51,1,2,1,2,1,14,400,4,2,8,0,0,1,0,1
3,1,7,2,3,3,3,1,1,19,1,5,2,6,1,8,400,1,0,3,0,0,0,0,1
3,2,1,2,1,3,2,1,2,37,1,2,1,2,1,10,400,1,0,6,0,0,0,0,1
3,2,1,2,4,3,2,1,2,538,1,3,2,1,1,11,400,3,2,8,0,0,3,0,1
3,2,1,2,5,4,1,1,1,29,1,7,3,6,1,11,400,2,1,7,0,0,3,0,1
3,2,2,2,5,7,1,1,2,36,1,2,1,2,1,10,400,4,1,6,0,0,3,0,1
3,2,2,2,3,3,2,0,2,47,1,2,1,6,1,15,400,3,2,8,0,0,0,0,1
3,2,3,2,3,3,2,1,2,43,1,1,1,2,1,11,400,3,1,8,0,0,1,0,1
3,2,6,2,2,4,1,1,2,28,1,1,1,1,1,5,400,1,3,5,0,0,3,0,1
3,2,6,1,1,3,3,1,1,238,1,5,2,6,1,3,400,4,2,4,0,0,0,0,1
2,1,7,2,5,2,4,1,2,438,0,2,1,2,1,6,500,3,2,7,0,0,3,3,1
3,2,7,2,1,3,3,0,2,44,1,1,1,1,1,3,400,4,0,6,0,0,1,0,1
3,3,1,2,4,3,3,1,2,65,1,7,3,6,1,13,400,1,0,7,0,0,0,0,1
6,3,4,1,4,6,3,1,2,41,0,2,1,6,1,10,500,4,0,7,0,0,1,3,1
3,3,2,2,4,3,3,1,2,55,1,2,1,2,1,9,400,4,2,6,0,0,3,0,1
3,3,3,2,1,3,4,1,2,32,1,2,1,2,1,12,400,2,2,6,0,0,0,0,1
3,3,4,2,4,3,3,1,1,38,1,2,1,6,1,12,400,1,0,1,0,0,0,0,1
3,3,5,2,5,4,1,1,1,35,1,1,1,1,1,4,400,2,2,6,0,0,0,0,1
6,5,5,2,2,7,1,1,2,42,0,3,2,2,1,7,500,1,0,8,0,0,3,3,2
3,3,6,2,2,3,4,1,2,55,1,1,1,3,1,13,400,4,1,7,0,0,0,0,1
3,3,6,1,5,4,1,1,2,55,1,1,1,0,1,3,400,2,0,8,0,0,2,0,1
3,3,7,1,2,3,4,1,2,45,1,1,1,1,1,7,400,3,2,8,0,0,3,0,3
3,3,7,2,1,3,4,1,2,44,1,2,1,0,1,11,400,3,0,8,0,0,0,0,1
3,4,1,2,5,4,1,1,2,64,1,1,1,0,1,2,400,3,0,8,0,0,0,0,1
3,4,1,2,1,3,5,1,2,33,1,1,1,6,1,16,400,4,2,7,0,0,2,0,1
3,4,1,2,5,4,2,1,2,57,1,2,1,1,1,16,400,1,0,8,0,0,0,0,1
3,4,1,2,2,4,1,1,2,43,1,2,1,1,1,5,400,2,0,7,0,0,0,0,1
3,4,2,2,1,6,4,1,1,29,1,1,1,1,1,3,400,2,1,6,0,0,3,0,1
3,4,2,2,2,8,1,1,2,52,1,1,1,6,1,1,400,1,1,8,0,0,0,0,1
3,4,3,2,5,3,4,1,1,38,1,1,1,6,1,8,400,2,1,1,0,0,0,0,1
3,4,4,2,5,3,4,1,2,73,1,1,1,0,1,1,400,3,0,8,0,0,0,0,1
3,4,4,2,5,4,1,1,2,52,1,2,1,2,1,10,400,2,2,8,0,0,2,0,1
3,4,5,2,1,4,1,0,2,538,1,5,2,6,1,1,400,1,0,8,0,0,0,0,1
3,4,6,2,5,4,1,1,2,42,1,1,1,1,1,1,400,2,1,7,0,0,0,0,1
3,4,6,2,4,4,2,1,2,32,1,2,1,1,1,16,400,1,1,6,0,0,3,0,1
3,4,6,2,5,4,1,1,2,638,1,2,1,1,1,1,400,4,1,7,0,0,0,0,1
3,4,7,2,5,4,5,1,2,438,1,1,1,2,1,3,400,3,2,7,0,1,1,0,1
3,4,7,1,1,3,5,0,2,34,1,2,1,2,1,6,400,2,2,7,0,0,1,0,1
3,5,1,2,5,4,2,0,2,43,1,2,1,1,1,13,400,3,0,7,0,0,0,0,1
3,5,1,2,2,4,1,1,2,538,1,1,1,1,1,16,700,2,0,8,0,0,2,0,1
3,5,2,2,2,4,1,1,2,58,1,1,1,0,1,2,400,2,0,8,0,0,3,0,1
3,5,2,2,3,4,3,0,2,32,1,1,1,1,1,15,400,4,1,6,0,0,1,0,1
3,5,3,2,1,4,2,1,2,51,1,3,2,6,1,15,400,1,2,8,0,0,1,0,1
3,5,3,1,5,5,1,1,1,28,1,1,1,1,1,5,400,2,1,6,0,0,1,4,2
3,5,4,1,1,4,1,1,2,33,1,2,1,1,1,10,400,2,2,6,0,0,0,0,1
3,5,4,2,4,4,4,1,2,61,1,1,1,2,1,15,400,4,3,8,0,0,0,0,1
4,1,5,1,3,12,3,1,2,26,1,1,1,1,1,6,400,4,0,7,0,0,0,0,1
4,1,5,2,5,4,2,1,2,55,1,1,1,2,1,2,400,1,2,8,0,0,0,0,1
4,1,1,2,2,4,1,1,1,32,1,2,1,1,1,7,400,1,1,6,0,0,3,0,1
4,1,1,2,5,4,4,1,2,33,1,1,1,0,1,16,400,3,1,6,0,0,0,0,1
4,1,2,2,5,4,2,1,2,54,1,1,1,2,1,12,400,4,1,8,0,0,0,0,1
4,1,3,2,2,4,2,1,1,38,1,1,1,6,1,2,400,3,0,1,0,0,0,0,1
4,1,3,2,5,6,1,1,1,32,1,1,1,1,1,4,400,2,2,5,0,0,1,0,1
4,2,5,1,4,4,3,1,2,32,1,1,1,1,1,4,400,2,0,6,0,0,0,0,1
4,2,7,2,1,4,2,1,2,45,1,2,1,1,1,10,400,2,0,7,0,0,0,0,1
4,2,1,2,2,4,2,0,3,438,1,1,1,1,1,12,400,2,0,7,0,0,3,0,1
4,2,2,2,2,4,3,1,1,25,1,1,1,1,1,1,400,4,1,5,0,0,0,0,3
4,2,2,2,5,4,4,1,2,38,1,1,1,1,1,4,400,4,1,7,0,0,1,0,1
4,2,2,2,2,4,3,1,2,44,1,1,1,1,1,15,500,1,0,7,0,0,3,3,1
4,2,2,1,3,4,3,1,2,55,1,2,1,2,1,10,400,2,2,8,0,0,0,0,1
4,2,3,2,5,4,3,1,2,37,1,2,1,6,1,12,400,2,0,8,0,0,0,0,1
4,2,3,2,4,4,4,0,2,338,1,1,1,1,1,11,700,4,2,7,0,0,0,2,1
4,3,4,2,4,5,3,1,2,51,1,5,2,6,1,8,400,1,0,7,0,0,0,0,1
4,2,1,2,5,4,3,1,2,41,0,1,1,1,1,12,500,2,0,7,0,0,0,3,2
4,3,5,2,2,4,3,1,2,33,1,2,1,2,1,8,400,2,2,5,0,0,0,0,1
4,3,5,2,1,4,3,0,1,28,1,1,1,1,1,1,400,1,2,7,0,0,0,0,1
4,3,6,1,4,6,4,0,1,28,1,1,1,1,1,3,400,1,2,7,0,0,0,0,1
4,3,6,1,1,5,1,1,1,34,1,2,1,1,1,6,400,4,2,6,0,0,0,0,1
4,3,7,2,3,4,3,1,2,48,1,2,1,1,1,8,400,4,1,8,0,0,0,0,1
4,3,7,2,3,4,3,1,2,32,1,2,1,2,1,8,400,2,2,6,0,0,3,0,1
4,3,1,2,4,4,4,1,2,37,1,1,1,2,1,16,400,1,2,8,0,0,3,0,1
4,3,1,2,2,4,3,1,1,38,1,3,2,6,1,11,400,4,3,1,0,0,0,0,1
4,3,1,2,3,5,2,1,2,338,1,5,2,6,1,6,400,4,0,6,0,0,0,0,1
4,3,3,2,4,5,2,1,2,32,1,1,1,1,1,2,400,4,1,6,0,0,3,0,1
4,3,3,2,1,5,2,1,2,37,1,2,1,1,1,10,400,4,3,7,0,0,0,0,1
4,4,4,2,5,7,1,1,2,29,1,1,1,2,1,10,400,1,3,7,0,0,0,0,1
4,4,5,2,2,4,4,1,1,38,1,1,1,6,1,9,400,4,2,1,0,0,0,0,1
4,4,5,2,2,4,4,1,1,38,1,1,1,6,1,2,400,2,0,1,0,0,0,0,1
4,4,5,2,5,6,3,1,1,25,1,1,1,1,1,6,400,4,0,3,0,0,0,0,1
4,4,6,2,5,5,1,1,2,34,1,2,1,1,1,2,400,2,1,7,0,0,3,0,1
4,4,6,1,2,4,4,0,1,34,1,1,1,1,1,7,400,1,1,6,0,0,2,4,2
4,4,7,2,2,5,1,0,2,27,1,2,1,1,1,9,400,1,2,7,0,0,3,0,1
4,4,7,2,2,5,1,1,1,338,1,2,1,1,1,16,400,1,0,5,0,0,0,0,1
4,4,1,2,2,5,2,1,2,51,1,1,1,1,1,7,400,4,2,7,0,0,0,0,1
4,4,2,2,1,5,1,1,1,38,1,1,1,6,1,8,400,3,0,1,0,0,0,4,2
4,4,2,2,2,4,4,1,2,36,1,3,2,2,1,6,700,3,2,7,0,0,0,0,1
4,4,2,1,4,5,1,1,2,36,1,2,1,1,1,1,400,4,0,7,0,0,0,0,1
4,4,2,2,2,5,3,0,1,35,1,1,1,1,1,10,400,3,2,7,0,0,3,0,1
4,4,3,2,2,5,1,1,1,38,1,1,1,6,1,3,400,1,0,1,0,0,0,0,1
4,4,3,2,2,5,1,1,2,438,1,1,1,6,1,1,400,2,1,5,0,0,0,0,1
4,5,4,2,4,4,5,1,1,45,1,2,1,3,1,16,400,4,2,8,0,0,0,0,1
4,5,4,2,4,4,5,1,2,63,1,2,1,2,1,2,400,3,1,8,0,0,0,4,2
4,5,5,2,3,5,1,1,2,49,1,1,1,1,1,2,400,2,1,6,0,0,0,0,1
5,1,7,2,2,5,3,1,1,38,1,1,1,6,1,1,400,4,0,1,0,0,0,0,1
5,1,7,2,2,5,1,1,1,38,1,1,1,6,1,1,400,2,0,1,0,0,0,0,1
5,3,5,2,1,5,4,1,2,438,0,2,1,2,1,14,500,1,0,7,0,0,0,3,1
5,1,1,1,1,5,2,1,1,36,1,2,1,0,1,4,400,3,0,7,0,0,3,0,1
5,1,2,2,3,5,2,1,2,31,1,2,1,1,1,2,400,4,3,6,0,0,0,0,1
5,1,2,2,4,5,1,1,2,46,1,2,1,1,1,14,400,1,1,7,0,0,0,4,2
5,1,3,2,5,5,2,1,1,238,1,5,2,6,1,6,400,2,0,3,0,0,0,0,1
5,1,5,2,5,5,1,1,1,39,1,2,1,0,1,5,400,1,0,7,0,0,1,0,1
5,1,5,2,4,6,2,1,2,51,1,2,1,1,1,11,400,1,0,7,0,0,0,0,1
5,1,5,2,1,5,3,1,1,33,1,1,1,1,1,2,400,2,1,5,0,0,0,0,1
5,1,5,2,3,5,2,1,3,338,1,1,1,2,1,14,400,1,2,6,0,0,0,0,1
5,2,6,2,1,5,2,1,1,26,1,2,1,1,1,13,400,3,0,7,0,0,3,0,1
5,2,7,1,2,5,4,1,1,29,1,2,1,1,1,4,400,1,1,7,0,0,0,0,1
5,2,7,2,1,5,2,1,1,21,1,2,1,2,1,10,400,1,1,5,0,0,0,0,1
5,2,7,2,5,5,2,1,2,28,1,1,1,2,1,9,400,4,2,7,0,0,0,0,1
5,2,1,2,1,5,3,1,2,48,1,1,1,0,1,16,400,3,0,8,0,0,0,0,1
5,2,1,1,3,5,2,1,2,35,1,1,1,6,1,2,400,4,2,7,0,0,0,0,1
5,3,5,2,3,5,4,1,2,33,0,5,2,6,1,11,500,4,0,7,0,0,2,3,1
5,2,2,2,5,6,3,1,2,37,1,1,1,1,1,16,400,1,2,7,0,0,0,2,2
5,2,2,2,2,5,3,1,2,48,1,1,1,1,1,5,400,1,0,7,0,0,1,0,1
5,2,2,1,1,5,3,0,1,41,1,1,1,0,1,15,400,2,2,7,0,0,2,0,1
5,2,3,1,3,5,3,1,2,72,1,1,1,1,1,12,400,2,0,5,0,0,3,0,1
5,2,3,2,4,5,2,1,2,38,1,1,1,1,1,5,400,1,1,7,0,0,1,0,1
5,2,3,2,1,5,3,1,2,638,1,7,3,6,1,7,400,1,0,8,0,0,2,0,1
5,2,4,1,2,6,3,1,1,27,1,1,1,1,1,16,400,4,0,6,0,0,2,0,1
5,2,4,2,2,5,4,1,2,39,1,1,1,0,1,12,400,3,2,6,0,0,1,0,1
5,2,5,2,5,5,2,1,2,538,1,1,1,1,1,5,400,1,0,7,0,0,2,0,1
5,3,6,1,3,5,3,1,1,31,1,2,1,2,1,1,400,1,2,6,0,0,3,0,3
5,3,7,2,1,5,3,1,2,27,1,2,1,1,1,16,400,4,2,6,0,0,0,4,2
5,3,7,2,3,5,4,1,2,538,1,1,1,2,1,4,400,1,0,7,0,0,0,0,1
5,3,7,2,5,6,1,1,1,25,1,1,1,1,1,3,400,2,0,6,0,0,1,0,1
5,3,1,2,2,5,4,1,1,338,1,1,1,1,1,14,400,3,0,6,0,0,0,0,1
5,3,1,2,2,5,3,1,1,66,1,1,1,0,1,8,400,4,1,8,0,0,2,0,1
5,3,1,2,3,5,3,1,2,438,1,2,1,2,1,10,400,1,2,8,0,0,3,0,1
5,3,3,2,2,6,5,1,2,42,1,2,1,3,1,10,400,1,2,8,0,0,2,0,3
5,3,3,2,5,5,3,1,2,55,1,2,1,6,1,14,400,4,1,8,0,0,3,0,1
5,3,3,1,2,10,1,1,2,67,1,1,1,2,1,4,400,2,1,8,0,0,3,0,1
5,3,4,2,5,5,3,1,1,26,1,2,1,1,1,1,400,1,2,6,0,0,0,0,1
5,3,5,2,1,5,4,1,1,34,1,1,1,1,1,16,400,1,0,5,0,0,3,0,1
5,4,6,2,4,5,4,1,1,66,1,1,1,1,1,2,400,1,1,8,0,0,2,0,1
5,4,6,2,2,5,4,1,1,38,1,1,1,6,1,3,400,1,2,1,0,0,0,0,1
5,4,1,2,2,5,4,1,2,65,1,1,1,1,1,15,400,2,1,8,0,0,3,0,1
5,4,1,2,2,5,4,1,1,32,1,2,1,1,1,2,400,1,2,6,0,0,0,0,1
5,4,2,2,2,5,4,1,2,45,1,3,2,3,1,8,400,1,2,7,0,0,0,0,1
5,4,2,2,5,5,4,1,2,438,1,2,1,2,1,13,400,2,1,8,0,0,3,0,1
5,1,5,2,1,5,2,1,2,26,0,2,1,6,1,3,500,3,0,7,0,0,0,3,1
5,4,4,2,1,6,1,0,1,22,1,1,1,0,1,6,400,2,1,5,0,0,0,0,1
5,4,5,2,1,6,1,1,2,438,1,1,1,2,1,12,500,1,2,7,0,0,0,3,1
5,5,7,1,2,5,5,1,2,35,1,1,1,1,1,9,400,3,0,6,0,0,2,0,1
5,5,7,2,1,6,1,1,1,34,1,1,1,1,1,10,400,4,1,6,0,0,0,0,1
5,5,1,2,3,6,1,1,2,37,1,7,3,6,1,3,400,4,2,7,0,0,0,0,1
5,5,1,2,4,6,1,1,1,39,1,2,1,2,1,12,400,4,2,7,0,0,3,0,1
6,1,3,2,5,6,2,1,2,43,1,2,1,3,1,5,400,3,1,7,0,0,0,0,1
6,1,3,2,1,6,1,1,2,338,1,2,1,6,1,14,400,4,2,6,0,0,3,4,2
6,1,3,1,4,6,1,1,2,67,1,2,1,3,1,8,400,3,2,7,0,0,1,0,1
6,1,3,2,4,6,2,1,2,37,1,1,1,6,1,5,400,2,2,6,0,0,0,0,1
6,1,4,2,5,6,1,1,1,32,1,1,1,1,1,16,400,4,0,7,0,0,0,0,1
6,1,5,2,1,7,1,1,2,53,1,2,1,6,1,15,400,1,2,7,0,0,2,0,1
6,1,5,2,3,6,5,1,1,38,1,1,1,6,1,5,400,4,0,1,0,0,0,0,1
